postcode,title,query_postcode,district,municipality,locality,lat,lng
8600-128,Montes da Luz,8600-128,Faro,Lagos,Luz,37.092525,-8.730566
8125-430,Largo da Aldeia Velha,8125-430,Faro,Loulé,Quarteira,37.071403,-8.091934
8135-854,Estrada Vale de Lobo,8135-854,Faro,Loulé,Almancil,37.052183,-8.056321
7340-114,Recanto,7340-114,Portalegre,Arronches,Assunção,39.177429,-7.220492
8125-603,Rua Sem Nome P,8125-603,Faro,Loulé,Quarteira,37.068563,-8.100765
7645-000,Rua Custódio Brás Pacheco,7645-000,Beja,Odemira,Vila Nova de Milfontes,37.730687,-8.775003
9370-501,Igreja,9370-501,Madeira,Calheta (Madeira),Paul do Mar,38.729982,-9.172537
9370-133,Vila da Calheta,9370-133,Madeira,Calheta (Madeira),Calheta,32.721554,-17.178715
9370-019,Fajã,9370-019,Madeira,Calheta (Madeira),Arco da Calheta,32.718768,-17.147607
3305-199,Rua do Outão,3305-199,Coimbra,Arganil,Coja,40.257944,-7.923387
8135-189,Rua das Gerberas,8135-189,Faro,Loulé,Almancil,37.118557,-8.019077
8365-054,Rua dos Lírios,8365-054,Faro,Silves,Algoz,37.169938,-8.283559
6215-120,Penhas da Saúde,6215-120,Castelo Branco,Covilhã,Cortes do Meio,40.264645,-7.568659
3350-033,Vale Verde,3350-033,Coimbra,Vila Nova de Poiares,Arrifana,40.220829,-8.256048
8700-110,Estrada Nacional 398,8700-110,Faro,Olhão,Moncarapacho,,
7570-791,Alameda de Tróia,7570-791,Setúbal,Grândola,Melides,38.461097,-8.860291
8100-102,Rua dos Malhadais,8100-102,Faro,Loulé,Querença,,
9020-309,Vereda Vasco Gil Baixo,9020-309,Madeira,Funchal,Santo António,32.670192,-16.945484
7330-000,Rua do Espírito Santo,7330-000,Portalegre,Marvão,Santa Maria de Marvão,39.394516,-7.376773
8600-196,Caliços,8600-196,Faro,Lagos,Luz,,
8400-010,Cabeço de Pias,8400-010,Faro,Lagoa (Algarve),Estombar,37.118180,-8.479719
9370-028,Ledo,9370-028,Madeira,Calheta (Madeira),Arco da Calheta,32.718768,-17.147607
9370-011,Achada de Santo Antão,9370-011,Madeira,Calheta (Madeira),Arco da Calheta,32.718597,-17.146627
9385-050,Lombada Velha,9385-050,Madeira,Calheta (Madeira),Ponta do Pargo,32.818286,-17.244039
3200-363,Vale da Ursa,3200-363,Coimbra,Vila Nova de Poiares,São Miguel de Poiares,40.196697,-8.200738
8365-165,Rua das Sereias,8365-165,Faro,Silves,Armação de Pêra,37.144902,-8.348404
8100-104,Caminho Municipal 1180,8100-104,Faro,Loulé,Querença,,
9370-216,Moinhos Abaixo,9370-216,Madeira,Calheta (Madeira),Estreito da Calheta,32.736507,-17.191386
9370-311,Raposeira do Serrado,9370-311,Madeira,Calheta (Madeira),Fajã da Ovelha,32.767535,-17.214404
8200-997,Rua 5 de Outubro,8200-997,Faro,Albufeira,Olhos de Água,37.089716,-8.254196
3640-032,Tabosa do Carregal,3640-032,Viseu,Sernancelhe,Carregal,40.896168,-7.503067
8365-175,Rua 10 de Abril de 1933,8365-175,Faro,Silves,Armação de Pêra,,
8200-627,Estrada dos Pomares,8200-627,Faro,Albufeira,Guia,37.125940,-8.298795
4630-146,Alijó,4630-146,Porto,Marco de Canaveses,Manhuncelos,41.146016,-8.145737
8125-615,Rua Torre de Água,8125-615,Faro,Loulé,Quarteira,37.072109,-8.093219
7645-326,Rua do Monte Vistoso,7645-326,Beja,Odemira,Vila Nova de Milfontes,37.773808,-8.750916
7630-429,Bairro Avô,7630-429,Beja,Odemira,São Luís,37.651551,-8.571268
4430-634,Avenida João Silva Pinto,4430-634,Porto,Vila Nova de Gaia,Vilar de Andorinho,41.114291,-8.577324
8125-314,Beco do Clube Hotel,8125-314,Faro,Loulé,Quarteira,,
9370-111,Estrela à Baixo,9370-111,Madeira,Calheta (Madeira),Calheta,32.737644,-17.195766
9370-223,Serrões Abaixo,9370-223,Madeira,Calheta (Madeira),Estreito da Calheta,32.741677,-17.189091
8800-078,Casa Queimada,8800-078,Faro,Tavira,Cabanas de Tavira,37.140797,-7.601845
2496-908,"Apartado 1, Fátima",2496-908,Santarém,Ourém,Fátima,39.629434,-8.673428
8500-086,Vale Freire,8500-086,Faro,Portimão,Alvor,37.143339,-8.573436
9370-206,Igreja Acima,9370-206,Madeira,Calheta (Madeira),Estreito da Calheta,32.736210,-17.188328
3870-319,Urbanização Quinta dos Leites,3870-319,Aveiro,Murtosa,Torreira,,
7100-210,Monte da Amendoeira,7100-210,Évora,Estremoz,Évora Monte (Santa Maria),38.866816,-7.606534
8135-187,Rua do Lameiro,8135-187,Faro,Loulé,Almancil,,
8365-154,Rua Doutor António da Costa Contreiras,8365-154,Faro,Silves,Armação de Pêra,37.144902,-8.348404
8600-288,Rua Mário de Sá Carneiro,8600-288,Faro,Lagos,Santa Maria,37.099411,-8.689082
8126-851,"Apartado 501, Quarteira",8126-851,Faro,Loulé,Quarteira,37.081296,-8.115741
8700-047,Rua da Cegonha,8700-047,Faro,Olhão,Fuseta,37.056177,-7.748179
8600-186,Urbanização Jardim da Luz,8600-186,Faro,Lagos,Luz,37.086328,-8.730637
8501-906,"Apartado 1, Alvor",8501-906,Faro,Portimão,Alvor,37.128747,-8.592642
8125-463,Rua das Amoreiras,8125-463,Faro,Loulé,Quarteira,37.083397,-8.121943
7580-307,Brejos da Carregueira de Cima,7580-307,Setúbal,Alcácer do Sal,Santa Maria do Castelo,38.322772,-8.772580
9370-127,Pilrão,9370-127,Madeira,Calheta (Madeira),Calheta,32.727767,-17.175301
8900-077,Rua do Monte dos Brancos,8900-077,Faro,Vila Real de Santo António,Vila Nova de Cacela,37.167216,-7.520357
4950-722,Santo António,4950-722,Viana do Castelo,Monção,Riba de Mouro,42.036690,-8.331042
3305-223,Chão do Valado,3305-223,Coimbra,Arganil,Moura da Serra,40.257944,-7.923387
2135-001,Estrada Nacional 118,2135-001,Santarém,Benavente,Samora Correia,38.926925,-8.885442
7630-026,Estrada Municipal 552,7630-026,Beja,Odemira,São Salvador,37.652376,-8.405127
9200-234,Vereda do Lombo I,9200-234,Madeira,Machico,Água de Pena,32.709438,-16.768661
3070-731,Urbanização Miróasis,3070-731,Coimbra,Mira,Praia de Mira,40.457109,-8.800955
8125-135,Assumadinha,8125-135,Faro,Loulé,Quarteira,37.066473,-8.096897
9370-306,Lombada dos Cedros,9370-306,Madeira,Calheta (Madeira),Fajã da Ovelha,32.719727,-17.159113
8135-012,Aldeamento de Ancão,8135-012,Faro,Loulé,Almancil,37.060979,-8.024595
9370-312,São João,9370-312,Madeira,Calheta (Madeira),Fajã da Ovelha,32.767535,-17.214404
7050-305,Rua Sacadura Cabral,7050-305,Évora,Montemor-o-Novo,Nossa Senhora do Bispo,38.649329,-8.214822
9370-025,Fonte do Til,9370-025,Madeira,Calheta (Madeira),Arco da Calheta,32.710179,-17.148079
4410-315,Alameda Senhor da Pedra,4410-315,Porto,Vila Nova de Gaia,Arcozelo,41.069529,-8.654847
9370-035,Palheiros Acima,9370-035,Madeira,Calheta (Madeira),Arco da Calheta,,
4495-413,Rua Sem Nome 13130601,4495-413,Porto,Póvoa de Varzim,Beiriz,41.422982,-8.748492
8600-289,Rua da Andorinha-do-Mar,8600-289,Faro,Lagos,Santa Maria,37.099411,-8.689082
9370-504,Ribeira das Galinhas,9370-504,Madeira,Calheta (Madeira),Paul do Mar,38.729982,-9.172537
2461-701,"Apartado 1, São Martinho do Porto",2461-701,Leiria,Alcobaça,São Martinho do Porto,39.513114,-9.130039
7630-596,Estrada Nacional 120-2,7630-596,Beja,Odemira,São Teotónio,37.507015,-8.707946
8100-593,Rua da Bela Vista,8100-593,Faro,Loulé,São Clemente,37.138778,-8.017969
8375-162,Rua Doutor António Neves Anacleto,8375-162,Faro,Silves,São Bartolomeu de Messines,,
9000-112,Rua Ajuda,9000-112,Madeira,Funchal,São Martinho,32.637531,-16.939859
8950-444,Rua das Flores,8950-444,Faro,Castro Marim,Altura,37.176319,-7.501478
8800-123,Arroteia de Baixo,8800-123,Faro,Tavira,Luz,37.098885,-7.727162
7425-148,Caminho Municipal 1061,7425-148,Portalegre,Ponte de Sor,Montargil,39.078804,-8.170479
8600-269,Rua da Andorinha-do-Mar,8600-269,Faro,Lagos,Odiáxere,37.163042,-8.742583
8700-049,Rua dos Alcatruzes,8700-049,Faro,Olhão,Fuseta,37.056177,-7.748179
2950-810,Avenida do Montado,2950-810,Setúbal,Palmela,Quinta do Anjo,38.605176,-8.890526
8900-016,Quinta da Ria,8900-016,Faro,Vila Real de Santo António,Vila Nova de Cacela,37.174528,-7.534465
8400-540,Rua Palma,8400-540,Faro,Lagoa (Algarve),Carvoeiro,,
8135-855,Estrada Vale de Lobo,8135-855,Faro,Loulé,Almancil,37.052183,-8.056321
9370-203,Fazendinha,9370-203,Madeira,Calheta (Madeira),Estreito da Calheta,32.730420,-17.188466
7630-488,Troviscais,7630-488,Beja,Odemira,São Luís,37.658616,-8.681347
8135-035,Vale Formoso,8135-035,Faro,Loulé,Almancil,37.081206,-7.993959
8650-316,Caminho dos Altos da Raposeira,8650-316,Faro,Vila do Bispo,Raposeira,37.081994,-8.889453
4550-729,Rua do Seixal de Cima,4550-729,Aveiro,Castelo de Paiva,Real,,
8800-069,Rua Maria Lamas,8800-069,Faro,Tavira,Conceição,37.143409,-7.603161
8800-599,Rua 11,8800-599,Faro,Tavira,Cabanas de Tavira,37.142172,-7.603395
8365-163,Urbanização F. Serrão,8365-163,Faro,Silves,Armação de Pêra,37.144902,-8.348404
9060-158,Mercado Lavradores,9060-158,Madeira,Funchal,Santa Maria Maior,32.661110,-16.875179
8671-909,"Apartado 1, Aljezur",8671-909,Faro,Lagos,São Sebastião,37.313901,-8.803806
8125-557,Volta do Pavão,8125-557,Faro,Loulé,Quarteira,37.099845,-8.122067
3080-217,Avenida Marginal Oceânica,3080-217,Coimbra,Figueira da Foz,Buarcos,40.162260,-8.862050
7630-131,Estrada da Circunvalação,7630-131,Beja,Odemira,São Salvador,37.597987,-8.641819
7750-611,Góis Gordo,7750-611,Beja,Mértola,São Miguel do Pinheiro,37.666506,-7.651897
8901-907,"Apartado 1, Vila Nova de Cacela",8901-907,Faro,Vila Real de Santo António,Vila Nova de Cacela,39.000000,-8.300000
8135-185,Rua da Bela Vista,8135-185,Faro,Loulé,Almancil,,
8670-000,Praceta das Caliças,8670-000,Faro,Lagos,São Sebastião,37.163042,-8.742583
8950-446,Avenida 24 de Junho,8950-446,Faro,Castro Marim,Altura,37.294919,-7.534795
8135-866,Avenida Airton Sena,8135-866,Faro,Loulé,Almancil,37.083211,-8.024160
3870-502,Amarinhos,3870-502,Aveiro,Estarreja,Beduído,,
8950-447,Rua Duque da Terceira,8950-447,Faro,Castro Marim,Altura,37.176319,-7.501478
8365-180,Rua da Alegria,8365-180,Faro,Silves,Armação de Pêra,37.101347,-8.358140
8600-265,Rua Ramalho Ortigão,8600-265,Faro,Lagos,Odiáxere,37.163042,-8.742583
2445-382,Rua A,2445-382,Leiria,Alcobaça,Pataias,39.679952,-8.989155
8650-159,Caminho do Zimbral,8650-159,Faro,Vila do Bispo,Budens,37.074065,-8.848086
2655-505,Rua Leandro Santos,2655-505,Lisboa,Mafra,Ericeira,,
8365-000,Rua Dom Afonso Iii,8365-000,Faro,Silves,Armação de Pêra,37.102466,-8.361637
7520-450,Estrada Municipal 554,7520-450,Setúbal,Sines,Porto Covo,37.851133,-8.790887
8125-312,Avenida da Fonte Santa,8125-312,Faro,Loulé,Quarteira,,
3730-176,Rua do Crasto,3730-176,Aveiro,Vale de Cambra,Junqueira,40.843452,-8.335004
2965-499,Urbanização Golf do Montado,2965-499,Setúbal,Palmela,Marateca,,
8700-046,Rua Rosa dos Ventos,8700-046,Faro,Olhão,Fuseta,37.056177,-7.748179
9000-153,Rua Engenheiro Rui Manuel da Silva Vieira,9000-153,Madeira,Funchal,Santo António,32.655308,-16.929461
9370-310,Raposeira do Lugarinho,9370-310,Madeira,Calheta (Madeira),Fajã da Ovelha,32.767535,-17.214404
8200-414,Caminho das Sesmarias,8200-414,Faro,Albufeira,Guia,37.124035,-8.293047
8135-191,Avenida do Ancão,8135-191,Faro,Loulé,Almancil,37.045196,-8.043156
8135-183,Estrada Nacional 125-4/Ic4,8135-183,Faro,Loulé,Almancil,,
8500-080,Rua do Lazareto,8500-080,Faro,Portimão,Alvor,37.130930,-8.591910
9370-040,Pombal,9370-040,Madeira,Calheta (Madeira),Arco da Calheta,,
8375-000,Rua Dona Maria Eugénia Neutal Dias Ferreira,8375-000,Faro,Silves,São Bartolomeu de Messines,37.255876,-8.280081
8401-903,"Apartado 181, Lagoa",8401-903,Faro,Lagoa (Algarve),Lagoa,37.135204,-8.452004
8100-135,Barranco do Velho,8100-135,Faro,Loulé,Querença,37.276881,-8.045387
8600-647,Bairro dos Pescadores,8600-647,Faro,Lagos,São Sebastião,37.163042,-8.742583
8601-909,"Apartado 721, Lagos",8601-909,Faro,Lagos,Santa Maria,37.097878,-8.677416
8950-454,Avenida 24 de Junho,8950-454,Faro,Castro Marim,Altura,37.294919,-7.534795
9370-016,Corujeira,9370-016,Madeira,Calheta (Madeira),Arco da Calheta,32.719356,-17.147575
7100-200,Bairro das Correias,7100-200,Évora,Estremoz,Évora Monte (Santa Maria),38.764548,-7.715086
8950-443,Rua Freira Maria da Glória,8950-443,Faro,Castro Marim,Altura,37.294919,-7.534795
9000-253,Rua Rui Alberto de Abreu Malheiro,9000-253,Madeira,Funchal,São Martinho,32.640155,-16.924778
7645-324,Rua de São Clemente,7645-324,Beja,Odemira,Vila Nova de Milfontes,37.773808,-8.750916
8970-308,Santa Marta,8970-308,Faro,Alcoutim,Pereiro,37.492868,-7.570536
9060-020,Rua Lazareto,9060-020,Madeira,Funchal,São Gonçalo,32.647491,-16.878933
9370-442,Estrada da Promenade,9370-442,Madeira,Calheta (Madeira),Jardim do Mar,,
7320-000,Rua Olivença,7320-000,Portalegre,Castelo de Vide,São João Batista,39.414491,-7.454635
9370-113,Facho,9370-113,Madeira,Calheta (Madeira),Calheta,32.737644,-17.195766
8135-161,Estrada Regional 125,8135-161,Faro,Loulé,Almancil,37.088859,-8.035915
8125-133,Volta Cesário Verde,8125-133,Faro,Loulé,Quarteira,37.066473,-8.096897
8700-045,Rua Aida Neto,8700-045,Faro,Olhão,Fuseta,37.056177,-7.748179
8400-549,Urbanização Monte Carvoeiro,8400-549,Faro,Lagoa (Algarve),Carvoeiro,,
9100-274,Estrada Doutor João de Gouveia,9100-274,Madeira,Santa Cruz,Santo António da Serra,32.726471,-16.830994
2605-400,Avenida André Jordan,2605-400,Lisboa,Sintra,Monte Abraão,,
8125-315,Rua José Pires Barroso,8125-315,Faro,Loulé,Quarteira,,
9000-686,Vereda Ribeira dos Socorridos,9000-686,Madeira,Funchal,São Martinho,32.653969,-16.963076
7645-330,Rua da Cerquinha,7645-330,Beja,Odemira,Vila Nova de Milfontes,,
8400-467,Rua Patrick Swift,8400-467,Faro,Lagoa (Algarve),Porches,,
8650-150,Caminho Vale da Rata,8650-150,Faro,Vila do Bispo,Budens,37.074065,-8.848086
9370-602,Estacada,9370-602,Madeira,Calheta (Madeira),Prazeres,32.756610,-17.203465
8125-402,Avenida da Pinha,8125-402,Faro,Loulé,Quarteira,37.092489,-8.117635
7645-283,Urbanização do Moínho de Vento,7645-283,Beja,Odemira,Vila Nova de Milfontes,37.727875,-8.784316
9060-047,Largo Canto Muro,9060-047,Madeira,Funchal,São Gonçalo,32.647500,-16.900434
9370-032,Loreto,9370-032,Madeira,Calheta (Madeira),Arco da Calheta,,
4640-300,Barreiros,4640-300,Porto,Baião,Grilo,41.119276,-8.122537
7340-000,Rua Passeio 1º de Maio,7340-000,Portalegre,Arronches,Assunção,39.121186,-7.284154
7645-328,Rua do Jardim Infantil,7645-328,Beja,Odemira,Vila Nova de Milfontes,37.773808,-8.750916
8365-173,Beco do Lagar,8365-173,Faro,Silves,Armação de Pêra,,
8135-193,Caminho do Rasmalho,8135-193,Faro,Loulé,Almancil,37.045196,-8.043156
8700-235,Rua Natália Correia,8700-235,Faro,Olhão,Quelfes,37.025187,-7.842310
2705-338,Rua Villas Sintramar,2705-338,Lisboa,Sintra,Colares,38.813969,-9.470133
8125-600,Aldeamento Sem Nome 1,8125-600,Faro,Loulé,Quarteira,37.068563,-8.100765
8700-233,Rua Camilo Castelo Branco,8700-233,Faro,Olhão,Quelfes,37.025187,-7.842310
8900-415,Avenida Infante Dom Henrique,8900-415,Faro,Vila Real de Santo António,Monte Gordo,37.179192,-7.451193
7555-000,Avenida dos Centenários da Independência,7555-000,Setúbal,Santiago do Cacém,Cercal,37.800375,-8.674125
8950-445,Rua Nau São Rafael,8950-445,Faro,Castro Marim,Altura,37.176319,-7.501478
8135-192,Rua das Tulipas,8135-192,Faro,Loulé,Almancil,37.045196,-8.043156
2950-808,Rua do Sobreiro,2950-808,Setúbal,Palmela,Quinta do Anjo,38.605176,-8.890526
8700-220,Rua Manuel António Pina,8700-220,Faro,Olhão,Quelfes,37.033333,-7.816667
8135-186,Urbanização The Crest Quinta do Vale,8135-186,Faro,Loulé,Almancil,,
8125-129,Rua do Sapatilho,8125-129,Faro,Loulé,Quarteira,37.066473,-8.096897
9370-503,Quebrada,9370-503,Madeira,Calheta (Madeira),Paul do Mar,38.729982,-9.172537
2720-824,Rua dos Abrunheiros,2720-824,Lisboa,Amadora,Venteira,,
8125-000,Avenida Doutor Francisco Sá Carneiro,8125-000,Faro,Loulé,Quarteira,37.066473,-8.096897
8200-428,Rua do Timoneiro,8200-428,Faro,Albufeira,Guia,37.088375,-8.310146
8400-550,Alfanzina,8400-550,Faro,Lagoa (Algarve),Carvoeiro,37.096773,-8.468818
8600-282,Porto de Mós,8600-282,Faro,Lagos,Santa Maria,37.085301,-8.685019
8600-281,Rua João da Cruz Carneiro de Almeida,8600-281,Faro,Lagos,Santa Maria,37.099411,-8.689082
8200-416,Beco do Farol,8200-416,Faro,Albufeira,Guia,37.081114,-8.310632
8500-072,Prainha,8500-072,Faro,Portimão,Alvor,37.123074,-8.578595
8400-558,Quinta do Paraíso,8400-558,Faro,Lagoa (Algarve),Carvoeiro,37.104680,-8.476227
8400-403,Caramujeira,8400-403,Faro,Lagoa (Algarve),Lagoa,37.114845,-8.452277
8200-408,Rua do Barranco,8200-408,Faro,Albufeira,Guia,,
8400-505,Estrada do Farol,8400-505,Faro,Lagoa (Algarve),Carvoeiro,37.093934,-8.456022
8650-060,Parque Florestal Golf de Santo António,8650-060,Faro,Vila do Bispo,Budens,37.052865,-8.948888
8400-562,Vale de Currais,8400-562,Faro,Lagoa (Algarve),Carvoeiro,37.090021,-8.447254
8400-000,Largo Alves Roçadas,8400-000,Faro,Lagoa (Algarve),Lagoa,37.136567,-8.453624
9000-100,Estrada Monumental,9000-100,Madeira,Funchal,São Martinho,32.640155,-16.924778
8400-502,Escadinhas Povo do Burro,8400-502,Faro,Lagoa (Algarve),Carvoeiro,37.097301,-8.470404
8500-088,Torralta,8500-088,Faro,Portimão,Alvor,37.130930,-8.591910
8600-780,Marina de Lagos,8600-780,Faro,Lagos,São Sebastião,37.163042,-8.742583
8400-564,Vale do Milho,8400-564,Faro,Lagoa (Algarve),Carvoeiro,37.097502,-8.449404
8400-080,Gramacho,8400-080,Faro,Lagoa (Algarve),Estombar,37.125572,-8.488833
8400-276,Urbanização Vila Gaivota,8400-276,Faro,Lagoa (Algarve),Ferragudo,37.107160,-8.493702
8200-381,Beco das Orquídeas,8200-381,Faro,Albufeira,Olhos de Água,37.091028,-8.217838
8400-230,Bairro dos Pescadores,8400-230,Faro,Lagoa (Algarve),Ferragudo,37.128295,-8.521574
8800-209,Urbanização da Nora Velha,8800-209,Faro,Tavira,Santa Maria Tavira,37.140141,-7.601480
9000-098,Estrada Monumental,9000-098,Madeira,Funchal,São Martinho,32.640155,-16.924778
8600-117,Monte Lemos,8600-117,Faro,Lagos,Luz,37.089383,-8.735022
8400-508,Rua do Barranco,8400-508,Faro,Lagoa (Algarve),Carvoeiro,37.099628,-8.469395
8400-525,Vale Centianes,8400-525,Faro,Lagoa (Algarve),Carvoeiro,37.097319,-8.470098
8400-552,Areias dos Moínhos,8400-552,Faro,Lagoa (Algarve),Carvoeiro,37.098607,-8.456148
8500-045,Amoreira,8500-045,Faro,Portimão,Alvor,37.128128,-8.577001
8400-421,Vale D'El Rei,8400-421,Faro,Lagoa (Algarve),Lagoa,37.114823,-8.421271
8800-596,Impasse do Pomar,8800-596,Faro,Tavira,Cabanas de Tavira,37.135308,-7.599578
8200-000,Parque Empresarial Lanka Park,8200-000,Faro,Albufeira,Guia,37.086702,-8.257154
8600-101,Alagoas,8600-101,Faro,Lagos,Luz,37.163042,-8.742583
9125-024,Estrada José Avelino Pinto,9125-024,Madeira,Santa Cruz,Caniço,,
8400-512,Rua dos Pescadores,8400-512,Faro,Lagoa (Algarve),Carvoeiro,37.099847,-8.469634
8400-515,Rua do Casino,8400-515,Faro,Lagoa (Algarve),Carvoeiro,37.097332,-8.471720
8500-044,Marachique,8500-044,Faro,Portimão,Alvor,37.128128,-8.577001
8400-401,Benagil,8400-401,Faro,Lagoa (Algarve),Lagoa,37.095473,-8.436308
9060-382,Estrada Aeroporto,9060-382,Madeira,Funchal,São Gonçalo,32.649188,-16.896811
8200-562,Torre da Mosqueira,8200-562,Faro,Albufeira,Ferreiras,37.112291,-8.215438
8200-559,Rua do Disco,8200-559,Faro,Albufeira,Ferreiras,37.128595,-8.234347
8650-035,Quinta das Furnas,8650-035,Faro,Vila do Bispo,Barão de São Miguel,37.108431,-8.795083
8600-120,Montinhos de Burgau,8600-120,Faro,Lagos,Luz,37.081631,-8.749597
9000-115,Rua Velha Ajuda,9000-115,Madeira,Funchal,São Martinho,32.640155,-16.924778
9050-019,Rua Carmo,9050-019,Madeira,Funchal,Sé,32.657684,-16.911222
8900-011,Sítio das Areias,8900-011,Faro,Vila Real de Santo António,Vila Nova de Cacela,37.174528,-7.534465
8600-000,Praceta das Caliças,8600-000,Faro,Lagos,São Sebastião,37.163042,-8.742583
8200-600,Travessa Porto das Areias,8200-600,Faro,Albufeira,Olhos de Água,37.117335,-8.256134
8650-191,Urbanização Beach Villas,8650-191,Faro,Vila do Bispo,Budens,37.086129,-8.831025
8200-389,Rua da Charrua,8200-389,Faro,Albufeira,Olhos de Água,37.106266,-8.197822
8200-591,Rua Nossa Senhora de Fátima,8200-591,Faro,Albufeira,Olhos de Água,37.095144,-8.183250
8700-000,Rua Sem Nome,8700-000,Faro,Olhão,Quelfes,37.084452,-7.788442
2460-682,Rua 28 de Maio,2460-682,Leiria,Alcobaça,São Martinho do Porto,39.508700,-9.130591
8400-008,Presa dos Mouros,8400-008,Faro,Lagoa (Algarve),Estombar,37.109320,-8.493060
8135-031,Rua Encosta do Lago,8135-031,Faro,Loulé,Almancil,37.081206,-7.993959
8500-082,Tapada da Penina,8500-082,Faro,Portimão,Alvor,37.204884,-8.598847
8600-113,Rua Nossa Senhora da Luz,8600-113,Faro,Lagos,Luz,37.085449,-8.749769
8400-518,Urbanização Monte Paraiso,8400-518,Faro,Lagoa (Algarve),Carvoeiro,37.105669,-8.472478
8400-565,Urbanização das Sesmarias,8400-565,Faro,Lagoa (Algarve),Carvoeiro,37.112553,-8.487070
8200-379,Estrada da Rocha Baixinha,8200-379,Faro,Albufeira,Olhos de Água,37.117335,-8.256134
3830-453,Avenida José Estevão,3830-453,Aveiro,Ílhavo,Gafanha da Encarnação,40.635916,-8.693179
8800-221,Urbanização Tavira Garden,8800-221,Faro,Tavira,Santa Maria Tavira,37.135323,-7.638466
2445-431,Pedra do Ouro,2445-431,Leiria,Alcobaça,Pataias,39.727712,-9.046063
8365-158,Urbanização Vale do Olival,8365-158,Faro,Silves,Armação de Pêra,37.103292,-8.361842
8600-382,Rua Emanuel da Costa Correia,8600-382,Faro,Lagos,Santa Maria,37.101793,-8.705078
2460-090,Estrada do Facho,2460-090,Leiria,Alcobaça,São Martinho do Porto,39.516081,-9.135475
2460-873,Rua dos Combatentes No Ultramar,2460-873,Leiria,Alcobaça,São Martinho do Porto,39.498910,-9.134205
8400-566,Urbanização Aldeia das Chaminés,8400-566,Faro,Lagoa (Algarve),Carvoeiro,37.097416,-8.469592
8600-310,Funchal,8600-310,Faro,Lagos,São Sebastião,37.112612,-8.703695
8600-304,Urbanização Doce Vida,8600-304,Faro,Lagos,São Sebastião,37.120649,-8.664506
9370-075,Vereda Meio,9370-075,Madeira,Calheta (Madeira),Arco da Calheta,,
2460-699,Rua da Micloa,2460-699,Leiria,Alcobaça,São Martinho do Porto,39.537554,-9.111631
8400-279,Praia Angrinha,8400-279,Faro,Lagoa (Algarve),Ferragudo,37.123700,-8.522064
8600-104,Cama da Vaca,8600-104,Faro,Lagos,Luz,37.072941,-8.758950
8400-557,Poço Partido,8400-557,Faro,Lagoa (Algarve),Carvoeiro,37.105482,-8.455579
8200-384,Beco das Violetas,8200-384,Faro,Albufeira,Olhos de Água,37.117335,-8.256134
8200-614,Caminho das Palmeiras,8200-614,Faro,Albufeira,Guia,37.124015,-8.291275
4910-180,Cristelo,4910-180,Viana do Castelo,Caminha,Cristelo,41.856649,-8.846252
9000-060,Avenida Arriaga,9000-060,Madeira,Funchal,Sé,32.648094,-16.908787
9000-089,Rua Doutor Pita,9000-089,Madeira,Funchal,São Martinho,32.646985,-16.914026
7580-685,Brejo da Carregueira de Cima,7580-685,Setúbal,Alcácer do Sal,Comporta,38.322772,-8.772580
9000-783,Avenida do Amparo,9000-783,Madeira,Funchal,São Martinho,32.646824,-16.944940
9050-021,Rua Doutor Fernão Ornelas,9050-021,Madeira,Funchal,Sé,32.680450,-16.890239
8400-536,Algarve Sol,8400-536,Faro,Lagoa (Algarve),Carvoeiro,37.091422,-8.451157
8400-569,Rua dos Combatentes,8400-569,Faro,Lagoa (Algarve),Carvoeiro,37.098337,-8.468361
8400-510,Rua das Flores,8400-510,Faro,Lagoa (Algarve),Carvoeiro,37.094552,-8.465375
2445-130,Paredes da Vitória,2445-130,Leiria,Alcobaça,Pataias,39.701458,-9.048237
8400-258,Rua Doutor Coelho Carvalho,8400-258,Faro,Lagoa (Algarve),Ferragudo,37.120672,-8.520563
2460-691,Rua Vale de Guisos,2460-691,Leiria,Alcobaça,São Martinho do Porto,39.513238,-9.140859
9370-711,Caminho Cales Chada,9370-711,Madeira,Calheta (Madeira),Arco da Calheta,,
8365-181,Caliços,8365-181,Faro,Silves,Armação de Pêra,37.115643,-8.352333
9100-080,Rampa da Ponta da Polé,9100-080,Madeira,Santa Cruz,Gaula,,
8100-221,Alfarrobeira,8100-221,Faro,Loulé,São Clemente,37.166667,-8.150000
8400-275,Urbanização Vale da Areia,8400-275,Faro,Lagoa (Algarve),Ferragudo,37.118212,-8.519245
9125-067,Estrada do Garajau,9125-067,Madeira,Santa Cruz,Caniço,32.648877,-16.842937
8600-214,Rua João da Silva Benjamim,8600-214,Faro,Lagos,Luz,37.163042,-8.742583
8200-592,Patã de Baixo,8200-592,Faro,Albufeira,Olhos de Água,37.109208,-8.173622
8400-500,Rua do Cerro,8400-500,Faro,Lagoa (Algarve),Carvoeiro,37.098255,-8.465538
8200-419,Monte Juntos,8200-419,Faro,Albufeira,Guia,37.132088,-8.304478
9000-248,Caminho Amparo,9000-248,Madeira,Funchal,São Martinho,32.649615,-16.953802
8500-829,Sesmarias de Cima,8500-829,Faro,Portimão,Alvor,37.204884,-8.598847
8400-219,Urbanização Vitors Village,8400-219,Faro,Lagoa (Algarve),Ferragudo,37.114845,-8.452277
8400-420,Urbanização Quinta Rosal,8400-420,Faro,Lagoa (Algarve),Lagoa,37.114643,-8.424215
