postcode,title,query_postcode,district,municipality,locality,lat,lng
2725-032,Avenida Professor Bento de Jesus Caraça,2725-032,Lisboa,Sintra,Algueirão-Mem Martins,38.799947,-9.346244
1900-287,Rua José Ricardo,1900-287,Lisboa,São Jorge de Arroios,São Jorge de Arroios,38.734456,-9.131956
4815-394,Avenida dos Bombeiros Voluntários,4815-394,Braga,Vizela,São João (Caldas de Vizela),41.376032,-8.311937
8550-390,Vale de Figueiras,8550-390,Faro,Monchique,Monchique,37.323360,-8.578916
8135-174,Rua Manuel Francisco Aleixo,8135-174,Faro,Loulé,Almancil,37.075512,-8.011372
4410-129,Rua das Pedras da Maré,4410-129,Porto,Vila Nova de Gaia,São Felix da Marinha,41.022295,-8.639635
8700-492,Rua Luís de Camões,8700-492,Faro,Olhão,Olhão,37.026536,-7.841555
2400-766,Casal Novo,2400-766,Leiria,Amor,Amor,39.720658,-8.857278
6270-411,Travessa Mariana de Lencastre,6270-411,Guarda,Seia,Seia,40.411765,-7.705533
4745-069,Rua Rato,4745-069,Porto,Trofa,Alvarelhos,41.313116,-8.616501
1350-270,Rua do 4 de Infantaria,1350-270,Lisboa,Santo Condestável,Santo Condestável,38.718381,-9.164855
3500-156,Rua do Mendonça,3500-156,Viseu,Coração de Jesus,Coração de Jesus,40.653332,-7.913219
7320-163,Rua de São Pedro,7320-163,Portalegre,Castelo de Vide,Santa Maria da Devesa,39.417164,-7.458927
2820-341,Rua da Colina,2820-341,Setúbal,Almada,Charneca da Caparica,38.605997,-9.171577
8100-505,Avenida Marçal Pacheco,8100-505,Faro,Loulé,São Clemente,37.135413,-8.021562
2745-715,Avenida Américo Ferrer Lopes,2745-715,Lisboa,Sintra,Massamá,38.753617,-9.283706
5120-244,Rua de São Miguel,5120-244,Viseu,Tabuaço,Longa,41.060828,-7.593473
2970-271,Rua da Fonte de Sesimbra,2970-271,Setúbal,Sesimbra,Castelo (Sesimbra),38.482143,-9.139724
1350-138,Rua Francisco Metrass,1350-138,Lisboa,Santo Condestável,Santo Condestável,38.717410,-9.166430
4250-502,Rua Zambeze,4250-502,Porto,Cedofeita,Cedofeita,41.165449,-8.618235
3105-291,Pelariga,3105-291,Leiria,Pombal,Pelariga,39.968331,-8.630300
7330-110,Rua de Baixo,7330-110,Portalegre,Marvão,Santa Maria de Marvão,39.394954,-7.376666
8700-342,Largo do Carolas,8700-342,Faro,Olhão,Olhão,37.024307,-7.843062
6400-445,Largo de Santiago,6400-445,Guarda,Pinhel,Pinhel,40.775874,-7.062245
8100-076,Casas,8100-076,Faro,Loulé,Boliqueime,37.194375,-8.034694
4890-501,Cerdeira,4890-501,Braga,Celorico de Basto,Ribas,41.413923,-8.015659
4770-205,Avenida Padre Silva Rego,4770-205,Braga,Vila Nova de Famalicão,Joane,41.436405,-8.411008
3865-218,Rua do Cadaval,3865-218,Aveiro,Estarreja,Salreu,40.733846,-8.565114
2000-376,Rua Dom Duarte de Almeida,2000-376,Santarém,Alcanhões,Alcanhões,39.307193,-8.661510
4415-560,Rua Manuel António Fontoura,4415-560,Porto,Vila Nova de Gaia,Grijó,,
2705-214,Rua de Dom António Correia de Sá,2705-214,Lisboa,Sintra,Colares,38.806776,-9.443475
2705-902,Avenida 25 de Abril,2705-902,Lisboa,Sintra,Terrugem,38.833878,-9.362843
3850-360,Ameal,3850-360,Aveiro,Albergaria-a-Velha,Alquerubim,40.622761,-8.502547
4720-315,Rua Principal,4720-315,Braga,Amares,Dornelas,41.640724,-8.327108
4950-104,Milagres,4950-104,Viana do Castelo,Monção,Cambeses,42.046756,-8.468282
6060-085,Chão do Touro,6060-085,Castelo Branco,Idanha-a-Nova,Monsanto,40.039148,-7.114415
4850-285,Batoca,4850-285,Braga,Vieira do Minho,Rossas,41.572567,-8.107653
2655-315,Travessa dos Moinhos,2655-315,Lisboa,Mafra,Ericeira,38.966524,-9.415670
2745-796,Rua dos Jasmins,2745-796,Lisboa,Sintra,Massamá,38.757885,-9.276006
4950-761,Terrada,4950-761,Viana do Castelo,Monção,Segude,42.049923,-8.384841
2955-282,Aceiro Principal da Carregueira,2955-282,Setúbal,Palmela,Pinhal Novo,38.635815,-8.918800
2665-520,Avenida 9 de Julho,2665-520,Lisboa,Mafra,Venda do Pinheiro,38.923631,-9.232502
1700-332,Avenida Rio de Janeiro,1700-332,Lisboa,São João de Brito,São João de Brito,38.753836,-9.138547
6230-614,Quintãs,6230-614,Castelo Branco,Fundão,Salgueiro,40.242494,-7.297024
6110-206,Rua Capitão-Mor,6110-206,Castelo Branco,Vila de Rei,Vila de Rei,39.675780,-8.148065
2745-297,Avenida da Liberdade,2745-297,Lisboa,Sintra,Monte Abraão,38.763675,-9.259968
8000-301,Rua do Prior,8000-301,Faro,São Pedro,São Pedro,37.017287,-7.935366
5340-431,Cabanas,5340-431,Bragança,Macedo de Cavaleiros,Soutelo Mourisco,41.688362,-6.912862
1200-732,Rua dos Navegantes,1200-732,Lisboa,Lapa,Lapa,38.711358,-9.159988
4715-390,Estrada Via Falperra,4715-390,Braga,Nogueira,Nogueira,41.532993,-8.402689
2660-181,Travessa da Liberdade,2660-181,Lisboa,Loures,Santo Antão do Tojal,38.850958,-9.164651
5470-241,Avenida Dom Afonso Iii,5470-241,Vila Real,Montalegre,Montalegre,41.824464,-7.792492
2770-162,Rua Serrado do Velhinho,2770-162,Lisboa,Oeiras,Paço de Arcos,38.703906,-9.297814
4900-477,Praça Afonso Iii,4900-477,Viana do Castelo,Santa Maria Maior,Santa Maria Maior,41.695648,-8.822731
2005-127,Casais da Aroeira,2005-127,Santarém,Abitureiras,Abitureiras,39.301790,-8.764887
4710-617,Calçada do Montinho,4710-617,Braga,Crespos,Crespos,41.600533,-8.367639
3030-504,Rua O Conimbricense,3030-504,Coimbra,Santo António dos Olivais,Santo António dos Olivais,40.177700,-8.422551
7200-111,Largo Jacinto Fernandes Palma,7200-111,Évora,Reguengos de Monsaraz,Corval,38.429138,-7.540056
2640-012,Rua Chão do Poço,2640-012,Lisboa,Mafra,Santo Isidoro,38.999412,-9.416604
2750-749,Rua das Narcejas,2750-749,Lisboa,Cascais,Cascais,38.706011,-9.446545
5060-183,Rua da Eira,5060-183,Vila Real,Sabrosa,Paços,41.376129,-7.609201
4900-540,Rua do Hospital Velho,4900-540,Viana do Castelo,Santa Maria Maior,Santa Maria Maior,41.692131,-8.827885
1300-047,Vila Rodrigues,1300-047,Lisboa,Alcântara,Alcântara,38.703563,-9.191069
7960-054,Rua Luís de Camões,7960-054,Beja,Vidigueira,Pedrógão,38.214495,-7.824874
4830-753,Rua da Igreja Velha,4830-753,Braga,Póvoa de Lanhoso,Taíde,41.552257,-8.235268
4480-745,Rua 5 de Outubro,4480-745,Porto,Vila do Conde,Vila do Conde,41.362921,-8.746914
2460-830,Rua Combatentes,2460-830,Leiria,Alcobaça,Montes,39.615465,-8.941454
4715-029,Rua das Forças Armadas,4715-029,Braga,São José de São Lázaro,São José de São Lázaro,41.538464,-8.409617
7960-122,Travessa do Rossio,7960-122,Beja,Vidigueira,Selmes,38.201421,-7.743177
2735-299,Avenida Doutor Miguel Freire da Cruz,2735-299,Lisboa,Sintra,Cacém,38.766365,-9.305146
4450-077,Rua Brito Capelo,4450-077,Porto,Matosinhos,Matosinhos,41.180493,-8.689667
4910-302,Aldeia,4910-302,Viana do Castelo,Caminha,Orbacém,41.845107,-8.767107
2070-511,Beco dos Mártires das Guerras Coloniais,2070-511,Santarém,Cartaxo,Valada,39.080005,-8.762605
7320-202,Estrada São Vicente,7320-202,Portalegre,Castelo de Vide,Santa Maria da Devesa,39.408514,-7.446607
7580-646,Rua do Pinhal,7580-646,Setúbal,Alcácer do Sal,Comporta,38.380221,-8.782961
4150-668,Rua Santa Senhorinha,4150-668,Porto,Foz do Douro,Foz do Douro,41.149225,-8.665695
3420-145,Touriz,3420-145,Coimbra,Tábua,Midões,40.380462,-7.930503
2970-129,Estrada Nacional 379,2970-129,Setúbal,Sesimbra,Castelo (Sesimbra),38.467857,-9.092732
8550-470,Travessa da Portela,8550-470,Faro,Monchique,Monchique,37.320163,-8.555637
2900-145,Rua de Nossa Senhora do Cais,2900-145,Setúbal,Nossa Senhora da Anunciada,Nossa Senhora da Anunciada,38.527195,-8.904067
2525-802,Avenida da Serrana,2525-802,Leiria,Peniche,Serra D'El Rei,39.335458,-9.272955
3130-022,Degracias,3130-022,Coimbra,Soure,Degracias,40.007062,-8.521802
4935-433,Rua Francisco Rodrigues de Carvalho,4935-433,Viana do Castelo,Mazarefes,Mazarefes,41.680344,-8.770810
