postal_code
8135-000
8500-803
8500-828
8500-053
8200-321
8500-327
8135-864
2655-001
8000-022
8900-907
8135-908
8200-376
8200-912
8135-904
8500-779
2705-000
8200-918
4349-009
2925-000
8200-003
8135-909
3360-191
8500-840
1070-330
8200-280
7645-001
8200-324
8125-200
8125-504
7645-909
8800-540
2125-489
8200-925
8135-901
2815-599
1070-297
9200-013
8500-821
2825-558
1160-016
8200-354
2820-000
8125-903
4030-142
8200-262
9370-000
8600-185
9360-021
8135-906
8135-905
8600-416
2665-478
9350-070
2925-804
3070-473
9370-010
8500-952
8500-901
8636-108
8400-851
4814-140
6830-801
9350-060
8400-001
9390-619
8200-248
8400-680
8370-077
2017-449
8200-904
4810-292
8135-902
8200-909
9050-296
8770-132
8135-001
8375-380
2825-411
8500-700
3090-118
3500-259
8365-537
1250-267
8601-121
8200-232
6265-056
8200-363
2651-661
3900-037
8500-312
2475-492
8125-037
2655-204
1155-345
8365-450
2815-281
1250-384
2655-439
9050-044
8200-876
9200-016
8500-364
9360-026
1800-426
4880-297
8200-595
8000-491
2541-451
5510-420
7630-008
8135-900
7000-115
1170-456
8900-496
1198-028
7679-501
4710-477
2950-658
6420-523
8050-194
8601-197
4560-103
9350-019
8700-908
4910-251
7400-147
8200-913
7540-014
1825-406
8950-000
8131-011
8600-340
7500-789
8600-229
8125-851
8200-657
8135-307
3510-278
8135-903
4740-009
8200-120
1250-284
1000-235
1495-000
9350-111
2800-569
8123-183
5340-125
8550-820
9360-152
8850-232
2705-325
2655-414
8200-679
4845-080
8200-058
8500-470
8125-263
4430-990
8201-924
9125-000
8400-902
9020-733
1070-000
8500-450
8500-355
7540-001
1250-464
7570-355
1110-219
4460-464
8340-556
8500-468
2750-432
8500-100
3779-357
1220-254
8125-701
1220-102
8135-304
2710-240
4930-131
2005-000
9360-040
8990-278
2525-202
2200-224
8600-600
8005-803
2825-068
8699-128
2950-052
8950-450
8125-274
8200-750
8351-048
8650-908
2570-000
4000-221
8100-378
1208-047
9360-115
2750-230
7800-600
8635-142
7570-363
7870-789
8134-024
2343-432
9350-078
8135-303
8100-265
4050-303
2630-236
2925-601
2975-671
6050-605
3307-802
9370-577
6534-346
8200-258
9370-775
8100-919
8607-060
9300-084
1450-241
9100-057
8500-834
8100-470
4810-372
8200-240
8650-170
8970-111
7555-008
1970-126
2080-402
9360-403
8400-912
2655-000
7370-000
7170-119
1249-139
5400-748
8550-185
9360-156
2600-001
4040-039
7150-201
8135-523
4879-111
8125-264
7320-302
9350-000
2400-236
6000-081
2410-170
2400-171
7000-582
2410-089
2410-132
2410-115
2400-146
6000-209
2410-113
6000-475
2410-168
6000-223
2410-111
2410-023
6000-162
6000-222
6000-159
6000-278
2400-076
2400-122
6000-197
2410-473
6000-133
2400-129
2410-182
2410-105
2400-119
6000-348
6000-175
2400-262
2400-155
2400-181
2400-084
2400-196
2400-190
2400-210
2400-152
2410-067
6000-339
2410-184
2410-098
2410-152
6000-411
2410-190
6000-378
2400-123
2410-371
2410-090
2400-081
2410-103
2400-159
2410-364
6000-178
2400-161
2400-195
6000-239
6000-251
2410-131
2400-016
2410-183
2400-150
2400-139
2410-472
2400-102
2410-145
6000-451
2410-124
2410-468
2400-257
9350-013
6000-153
8590-411
3070-779
8700-054
7000-178
6215-512
8500-473
4910-181
9350-022
2806-067
2510-622
9025-020
8129-401
7340-391
5320-025
5110-001
2276-037
